date,title,content,category,sentiment,sentiment_score,count,source
2024-06-01,"Pemerintah Luncurkan Program AI Nasional","Pemerintah umumkan strategi nasional AI untuk ekonomi digital","Teknologi","positif",0.88,10,"detik.com"
2024-06-01,"Cuaca Ekstrem Melanda Jakarta","Hujan deras dan angin kencang menyebabkan banjir di beberapa wilayah","Lingkungan","negatif",-0.65,6,"kompas.com"
2024-06-02,"BI Naikkan Suku Bunga Acuan","Bank Indonesia menaikkan suku bunga untuk tekan inflasi","Ekonomi","netral",0.02,7,"cnnindonesia.com"
2024-06-02,"Kebijakan Baru Pajak Digital","Pemerintah keluarkan aturan pajak digital untuk startup","Ekonomi","positif",0.77,4,"bisnis.com"
2024-06-03,"Demo Mahasiswa Tolak Kenaikan BBM","Ribuan mahasiswa turun ke jalan protes kenaikan harga BBM","Politik","negatif",-0.85,15,"tempo.co"
2024-06-03,"Startup Lokal Raih Pendanaan Seri B","Startup bidang edutech raih investasi 5 juta USD","Teknologi","positif",0.93,3,"detik.com"
2024-06-04,"WHO Umumkan Status Endemi COVID-19","WHO menyatakan pandemi sudah berakhir, masuk fase endemi","Kesehatan","positif",0.81,8,"kompas.com"
2024-06-04,"Penemuan Plastik di Sungai Besar","Peneliti temukan mikroplastik di sungai utama Jakarta","Lingkungan","negatif",-0.71,2,"cnnindonesia.com"
2024-06-05,"Pilkada Serentak 2024 Dimulai","KPU resmikan tahapan pilkada serentak seluruh Indonesia","Politik","netral",0.05,9,"detik.com"
2024-06-05,"Penyuluhan Stunting Nasional","Pemerintah gelar program edukasi stunting untuk ibu hamil","Kesehatan","positif",0.62,4,"kompas.com"
2024-06-06,"Teknologi 5G Perluasan Jaringan","Operator telekomunikasi ekspansi 5G ke 10 kota baru","Teknologi","positif",0.72,7,"cnnindonesia.com"
2024-06-06,"Nilai Tukar Rupiah Menguat","Rupiah menguat terhadap dolar AS sepekan terakhir","Ekonomi","positif",0.48,5,"bisnis.com"
2024-06-07,"Banjir Bandang di Aceh","Banjir bandang rusak rumah dan infrastruktur di Aceh Tengah","Lingkungan","negatif",-0.83,11,"tempo.co"
2024-06-07,"Kasus DBD Naik di Musim Hujan","Kasus Demam Berdarah capai rekor di Jakarta Barat","Kesehatan","negatif",-0.67,6,"detik.com"
2024-06-08,"Aksi Sosial Bersih Pantai","Komunitas muda gelar bersih-bersih pantai di Bali","Lingkungan","positif",0.63,2,"kompas.com"
2024-06-08,"Pariwisata Bali Pulih Pascapandemi","Kunjungan turis asing ke Bali naik signifikan","Ekonomi","positif",0.82,8,"cnnindonesia.com"
2024-06-09,"Kerjasama Ekonomi Indonesia-Jepang","Indonesia tandatangani MoU perdagangan dengan Jepang","Ekonomi","positif",0.74,4,"bisnis.com"
2024-06-09,"Kecelakaan Lalu Lintas Tol Cipali","Tabrakan beruntun di tol Cipali, 3 orang tewas","Umum","negatif",-0.79,3,"tempo.co"
2024-06-10,"Pengembangan Mobil Listrik Nasional","Industri otomotif siap produksi mobil listrik dalam negeri","Teknologi","positif",0.86,5,"detik.com"
2024-06-10,"Rencana Pemerintah Ubah Skema Subsidi BBM","Subsidi BBM dialihkan ke bantuan langsung tunai","Politik","netral",-0.01,7,"kompas.com"
2024-06-11,"Kasus Korupsi Proyek Infrastruktur","KPK tetapkan tersangka baru kasus korupsi jalan tol","Politik","negatif",-0.92,2,"cnnindonesia.com"
2024-06-11,"Tren Vegan di Kalangan Milenial","Jumlah restoran vegan di kota besar meningkat","Kesehatan","positif",0.66,4,"bisnis.com"
2024-06-12,"Kualitas Udara Jakarta Membaik","BMKG catat penurunan polusi udara setelah hujan lebat","Lingkungan","positif",0.59,6,"tempo.co"
2024-06-12,"Festival Musik Jazz Internasional","Event jazz tahunan kembali digelar offline di Jakarta","Umum","positif",0.73,3,"detik.com"
2024-06-13,"Harga Emas Dunia Turun Tipis","Harga emas turun akibat penguatan dolar AS","Ekonomi","netral",0.04,5,"kompas.com"
2024-06-13,"Peningkatan Layanan Telemedicine","Startup healthtech kembangkan layanan konsultasi digital","Kesehatan","positif",0.79,7,"cnnindonesia.com"
2024-06-14,"Kebakaran Pasar Tradisional","Kebakaran besar hanguskan 70 kios di Pasar Rebo","Umum","negatif",-0.76,2,"bisnis.com"
2024-06-14,"Penurunan Angka Kemiskinan Nasional","BPS laporkan tren penurunan angka kemiskinan","Ekonomi","positif",0.63,4,"tempo.co"
2024-06-15,"Penemuan Varian COVID Baru","WHO laporkan varian baru COVID, dampak belum signifikan","Kesehatan","netral",0.01,5,"detik.com"
2024-06-15,"Aksi Unjuk Rasa Buruh Industri","Buruh pabrik tekstil demo tuntut kenaikan upah","Politik","negatif",-0.58,9,"kompas.com"
2024-06-16,"Satelit Komunikasi Indonesia Diluncurkan","Peluncuran satelit Satria-1 sukses dari Guyana Prancis","Teknologi","positif",0.91,3,"cnnindonesia.com"
2024-06-16,"Penangkapan Ikan Ilegal Menurun","Pemerintah klaim kasus illegal fishing turun 30%","Lingkungan","positif",0.68,2,"bisnis.com"
2024-06-17,"Kebijakan Baru Parkir Elektronik","DKI Jakarta resmikan parkir elektronik di 50 lokasi","Umum","positif",0.51,7,"tempo.co"
2024-06-17,"Stok Beras Nasional Aman","Bulog jamin stok beras cukup sampai akhir tahun","Ekonomi","positif",0.85,5,"detik.com"
2024-06-18,"Penanaman Mangrove Massal","Penanaman 1 juta mangrove di pesisir utara Jawa","Lingkungan","positif",0.88,4,"kompas.com"
2024-06-18,"Kasus Kriminalitas Turun di Bandung","Polrestabes Bandung sebut penurunan kasus kriminal 15%","Umum","positif",0.67,2,"cnnindonesia.com"
2024-06-19,"Gempa Bumi Tekan Wilayah Sumatera","Gempa berkekuatan 5.4 SR guncang Sumatera Barat","Umum","negatif",-0.83,6,"bisnis.com"
2024-06-19,"Kebijakan Ekspor Sawit Diperlonggar","Ekspor sawit Indonesia ke Eropa kembali dibuka","Ekonomi","positif",0.56,7,"tempo.co"
2024-06-20,"Kasus Anak Putus Sekolah Menurun","Pemerintah sebut angka putus sekolah turun tahun ini","Umum","positif",0.63,5,"detik.com"
2024-06-20,"Aksi Protes Warga Tolak Reklamasi","Warga Bali demo menolak reklamasi Teluk Benoa","Lingkungan","negatif",-0.65,3,"kompas.com"
2024-06-21,"Inovasi Startup Agritech","Startup agritech dorong efisiensi pertanian nasional","Teknologi","positif",0.84,4,"cnnindonesia.com"
2024-06-21,"Larangan Mudik Diberlakukan","Pemerintah kembali larang mudik saat lebaran","Politik","negatif",-0.55,9,"bisnis.com"
2024-06-22,"Wisatawan Lokal Meningkat di Jogja","Peningkatan signifikan jumlah wisatawan domestik","Ekonomi","positif",0.62,7,"tempo.co"
2024-06-22,"Penemuan Gunung Api Bawah Laut","Tim peneliti temukan gunung api bawah laut di Maluku","Lingkungan","netral",0.11,2,"detik.com"
2024-06-23,"Donasi Korban Bencana Alam Melonjak","Donasi publik capai rekor untuk korban banjir di NTT","Umum","positif",0.79,8,"kompas.com"
2024-06-23,"Vaksinasi Massal Booster COVID-19","Vaksinasi booster digelar serentak di seluruh kota besar","Kesehatan","positif",0.71,5,"cnnindonesia.com"
2024-06-24,"Kebijakan TikTok Shop Dibatasi","Pemerintah batasi fitur belanja langsung di TikTok","Ekonomi","netral",0.00,3,"bisnis.com"
2024-06-24,"Kasus Hoaks di Media Sosial Meningkat","Jumlah laporan hoaks naik 20% selama semester pertama","Teknologi","negatif",-0.67,2,"tempo.co"
2024-06-25,"Festival Kuliner Nusantara","Festival makanan tradisional diadakan di Surabaya","Umum","positif",0.73,5,"detik.com"
2024-06-25,"Penertiban PKL di Kota Besar","Satpol PP tertibkan pedagang kaki lima di 3 kota","Umum","netral",0.07,4,"kompas.com"
2024-06-26,"Jaringan 4G Diperluas di Wilayah Timur","Pemerintah perluas akses internet cepat di Indonesia Timur","Teknologi","positif",0.77,3,"cnnindonesia.com"
2024-06-26,"Kasus Pencemaran Udara di Pabrik","Pabrik tekstil didenda karena cemari udara","Lingkungan","negatif",-0.79,2,"bisnis.com"
